production_center,group_name,debut_year,generation,member_count
ONE Production,Girls' Generation,2007,2,8
ONE Production,aespa,2020,4,4
PRISM Production,SHINee,2008,2,5
PRISM Production,WayV,2019,4,6
PRISM Production,Hearts2Hearts,2025,5,8
RED Production,TVXQ,2004,2,2
RED Production,Red Velvet,2014,3,5
NEO Production,NCT 127,2016,4,8
NEO Production,NCT DREAM,2016,4,6
NEO Production,NCT WISH,2024,5,6
WIZARD Production,Kangta,1996,1,1
WIZARD Production,SUPER JUNIOR,2005,2,9
WIZARD Production,EXO,2012,3,9
WIZARD Production,RIIZE,2023,5,6
